# Created by Octave 3.6.2, Fri Mar 28 10:37:25 2014 CET <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 10
# columns: 1
 (802.9867542922908,1.47588299745253)
 (635.1595532648295,1.430746034735043)
 (487.0969692780993,1.411447816457084)
 (358.781695288566,1.399664682899226)
 (250.2097743739513,1.390888427535848)
 (161.3799633438763,1.382699674366459)
 (2.151595106955965,0.4448084196429185)
 (13.33542908866889,1.231298172981474)
 (92.29230998860481,1.371815979326039)
 (42.9483649238003,1.347345732747756)


