# Created by Octave 3.6.2, Fri Mar 28 10:29:50 2014 CET <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 10
# columns: 1
 (802.6040261213537,1.12910216011439)
 (634.7838164822851,1.098398800754906)
 (486.7241782741977,1.085300072654398)
 (358.4105314065638,1.077399041124044)
 (249.8395371874944,1.071676048849611)
 (161.0101237664045,1.066606689696055)
 (1.995207984004222,0.3858730466253264)
 (12.97019792209247,0.9786294061983852)
 (91.92227892881048,1.060312307654016)
 (42.57735623726072,1.046702426329034)


