# Created by Octave 3.6.2, Fri Mar 28 10:29:45 2014 CET <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 10
# columns: 1
 (803.6826320421911,2.351138444647281)
 (635.8472224387631,2.264689211908405)
 (487.7812708659476,2.22759807769447)
 (359.4645817072214,2.204531241926388)
 (250.8926682900644,2.186646660342522)
 (162.0645735725129,2.168770255460759)
 (2.432798616842691,0.5572394886081222)
 (14.04052968979654,1.813908899203329)
 (92.98169652213937,2.143015061288811)
 (43.64928056498677,2.08246265891998)


