# Created by Octave 3.6.2, Fri Mar 28 10:37:11 2014 CET <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 10
# columns: 1
 (799.4421466755916,10.06386233267899)
 (632.0864713665225,10.1003620239343)
 (484.2286869561697,10.13004883600972)
 (356.0331382186138,10.18566261259189)
 (247.5418885990888,10.2920927277624)
 (158.7792624809208,10.51107167218066)
 (3.860701410201029,1.114780373078854)
 (18.64372088217985,9.784916906397262)
 (41.63936068726053,12.91474649498163)
 (89.81264626468781,11.05630217423048)


