# Created by Octave 3.6.2, Fri Mar 28 10:40:53 2014 CET <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 10
# columns: 1
 (804.3422538559953,6.08296650970971)
 (636.6255400103969,5.826930017874356)
 (488.6124743653632,5.71653379818915)
 (360.3363118572595,5.649315642492123)
 (251.8083512622225,5.599282962769798)
 (163.0439746763069,5.55102889040433)
 (3.081397975272201,0.829536702690115)
 (15.87773973368759,4.018154165888383)
 (94.0806281911956,5.476882030110497)
 (45.02858238276651,5.249369279871531)


