# Created by Octave 3.6.2, Fri Mar 28 10:43:26 2014 CET <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 10
# columns: 1
 (811.1211828011941,2.870982291402359)
 (642.7680649642956,2.563622962781716)
 (494.4782169605689,2.432183805519009)
 (366.0089265236637,2.33793512544715)
 (257.297349385125,2.245442328193581)
 (168.2987642978921,2.127555881879791)
 (3.235364352191987,0.1681313727300211)
 (17.83387470012618,0.9479958051174043)
 (98.93807154341424,1.940992355346979)
 (49.01128493583963,1.59592730235127)


