# Created by Octave 3.6.2, Fri Apr 04 10:18:43 2014 CEST <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 30
# columns: 1
 (8311.063930984661,1.282976652355942)
 (7748.319675095728,1.239940309649228)
 (7205.410800116474,1.220606370231383)
 (6682.271321617108,1.208560183252248)
 (6178.885546266664,1.199972804254938)
 (5695.247380431349,1.19337012093615)
 (5231.353841450377,1.188033468337678)
 (4787.203249671841,1.18355818840322)
 (4362.794562539216,1.179691947871678)
 (3958.127082308841,1.176263950954579)
 (3573.200310631869,1.173149648985937)
 (3208.013868488554,1.17025110105847)
 (2862.567447636076,1.167484737062747)
 (2536.860777692553,1.164772603612013)
 (2230.893600327251,1.162034900523756)
 (1944.665644966539,1.159182238919561)
 (1678.176601079588,1.15610606078439)
 (1431.426080991514,1.152665125841549)
 (1204.41356377356,1.148664668064696)
 (997.1383032378852,1.14382209462044)
 (809.5991667870333,1.137707385123192)
 (641.7943352211443,1.129633906100898)
 (493.7207056475622,1.118446744728945)
 (365.3726108340038,1.102085603956785)
 (3.179666310318123,0.09005769739656076)
 (17.5593905487396,0.4899321377394132)
 (48.60794457076842,0.8001457207402602)
 (98.47821074153927,0.95582508220055)
 (167.7946167000017,1.033916286612631)
 (256.7388125362634,1.076616027094743)


