# Created by Octave 3.6.2, Fri Apr 04 10:19:01 2014 CEST <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 30
# columns: 1
 (8311.02925448118,1.418343316178923)
 (7748.286735870745,1.370921442447091)
 (7205.378630325179,1.349613245985207)
 (6682.239629320185,1.336336273687455)
 (6178.854194370147,1.326871490573323)
 (5695.216290981342,1.319594428007818)
 (5231.322965214094,1.313713077308412)
 (4787.172553580876,1.308781478905251)
 (4362.764023640666,1.304521556643926)
 (3958.096684558374,1.300745110807489)
 (3573.170043105231,1.297314928849782)
 (3207.98372438863,1.294123145174972)
 (2862.537423805686,1.291077760652134)
 (2536.830874502336,1.288093003229665)
 (2230.863821899854,1.285081114780192)
 (1944.635999767012,1.281943836945598)
 (1678.147102974474,1.278561879483604)
 (1431.396750979276,1.274780067786912)
 (1204.384432752455,1.270384432246697)
 (997.1094164684382,1.265064497701999)
 (809.5705912565456,1.258347737074245)
 (641.7661722092092,1.249479439238365)
 (493.6931130583145,1.237189677781118)
 (365.3458447607679,1.219211674842551)
 (3.179242701665556,0.09987864764774496)
 (17.55379639185307,0.5431627425428434)
 (48.59393755305858,0.8864192333707476)
 (98.45822496667839,1.058227317175475)
 (167.7711524510294,1.144239227225922)
 (256.7133083369467,1.191213028747383)


