# Created by Octave 3.6.2, Fri Mar 28 11:21:43 2014 CET <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 30
# columns: 1
 (8301.953756510962,3.870865487648654)
 (7739.405540912436,3.851515484140223)
 (7196.586186637931,3.842397971993452)
 (6673.502733385146,3.836645721437723)
 (6170.156884945194,3.832552913476864)
 (5686.549307877906,3.829444513858672)
 (5222.680329584013,3.826987363016249)
 (4778.550134464842,3.824994072680121)
 (4354.158836531344,3.823349896922885)
 (3949.506511344215,3.82198048621576)
 (3564.593211877008,3.820835967263737)
 (3199.418977168354,3.819882462520391)
 (2853.983837439893,3.819097384619683)
 (2528.287817385196,3.818466859300208)
 (2222.330938511272,3.817984518337773)
 (1936.113221056884,3.817651360462129)
 (1669.634685879545,3.817476682599323)
 (1422.895356716561,3.817480386482789)
 (1195.895263397534,3.817697409276488)
 (988.634447026892,3.818185848512127)
 (801.1129691817649,3.819042077709603)
 (633.3309296419593,3.820430112770531)
 (485.2885036124974,3.822642425470115)
 (356.9860281405303,3.826236975643126)
 (2.393457582797038,1.570151286802321)
 (12.08098100779147,4.12743200518103)
 (41.24136889838487,3.937333470507671)
 (90.53411792845694,3.868692517604531)
 (159.6049492424067,3.843862892481223)
 (248.4242304434726,3.83238207519935)


