# Created by Octave 3.6.2, Thu Apr 24 12:35:32 2014 CEST <matael@trillian>
# name: eigval_vect
# type: complex matrix
# rows: 30
# columns: 1
 (8311.214516925113,0.6151471127864909)
 (7748.463177070281,0.59422026140814)
 (7205.551159927679,0.5848263225777026)
 (6682.409730645225,0.578974624044468)
 (6179.022564628081,0.5748031381210659)
 (5695.383326941778,0.5715953161210625)
 (5231.488917691901,0.5690018984919909)
 (4787.337591245136,0.5668262349323121)
 (4362.928263772076,0.5649456787355515)
 (3958.260209370467,0.5632771769641208)
 (3573.332908861389,0.5617601150511188)
 (3208.145966481174,0.5603467660675999)
 (2862.699059273643,0.5589963340031839)
 (2536.991902655246,0.5576706845979844)
 (2231.024223251869,0.5563306960892025)
 (1944.795733138499,0.5549324640126622)
 (1678.306100255823,0.5534225965230383)
 (1431.554908551316,0.551731574080803)
 (1204.541597743656,0.5497635090072683)
 (997.2653645778611,0.5473793068183735)
 (809.724990126632,0.5443674455937713)
 (641.9185188777866,0.5403905421062355)
 (493.8426226623567,0.5348820212412062)
 (365.4912429981728,0.5268334625948118)
 (3.183306595188383,0.04250551062480432)
 (17.59033777149864,0.2318531459600617)
 (48.67513740012821,0.3801104467112822)
 (98.56974934238052,0.4553632705436917)
 (167.9000972985627,0.4934167436103548)
 (256.8524252385205,0.5143256005795888)


